Paper,Set,Question,Vajiram and Ravi,Study IQ,PW OnlyIAS,Insight IAS,IAS Baba
2,C,6,D,,D,,
2,C,7,B,,B,,
2,C,8,C,,D,,
2,C,9,B,,B,,
2,C,10,C,,C,,
2,C,11,C,,C,,
2,C,12,D,,D,,
2,C,13,D,,D,,
2,C,14,C,,C,,
2,C,15,C,,C,,
2,C,16,A,,D,,
2,C,17,C,,C,,
2,C,18,B,,B,,
2,C,19,D,,D,,
2,C,20,A,,A,,
2,C,21,D,,D,,
2,C,22,A,,A,,
2,C,23,A,,B,,
2,C,24,C,,B,,
2,C,25,B,,B,,
2,C,26,B,,B,,
2,C,27,B,,B,,
2,C,28,B,,B,,
2,C,29,C,,C,,
2,C,30,B,,B,,
2,C,31,D,,D,,
2,C,32,D,,A,,
2,C,33,D,,D,,
2,C,34,A,,A,,
2,C,35,C,,C,,
2,C,36,C,,C,,
2,C,37,B,,B,,
2,C,38,C,,C,,
2,C,39,D,,D,,
2,C,40,C,,C,,
2,C,41,A,,A,,
2,C,42,C,,C,,
2,C,43,D,,C,,
2,C,44,C,,C,,
2,C,45,C,,C,,
2,C,46,C,,B,,
2,C,47,A,,A,,
2,C,48,D,,D,,
2,C,49,C,,D,,
2,C,50,C,,D,,
2,C,51,B,,B,,
2,C,52,C,,A,,
2,C,53,C,,C,,
2,C,54,B,,B,,
2,C,55,D,,D,,
2,C,56,C,,C,,
2,C,57,C,,C,,
2,C,58,D,,D,,
2,C,59,D,,A,,
2,C,60,C,,C,,
2,C,61,B,,B,,
2,C,62,D,,D,,
2,C,63,A,,D,,
2,C,64,B,,B,,
2,C,65,D,,D,,
2,C,66,C,,C,,
2,C,67,C,,C,,
2,C,68,A,,A,,
2,C,69,A,,A,,
2,C,70,B,,C,,
2,C,71,B,,B,,
2,C,72,C,,C,,
2,C,73,D,,D,,
2,C,74,D,,D,,
2,C,75,C,,C,,
2,C,76,A,,A,,
2,C,77,D,,D,,
2,C,78,B,,B,,
2,C,79,B,,B,,
2,C,80,C,,C,,
2,D,1,D,,D,,
2,D,2,D,,A,,
2,D,3,D,,D,,
2,D,4,D,,A,,
2,D,5,C,,C,,
2,D,6,C,,C,,
2,D,7,B,,B,,
2,D,8,C,,C,,
2,D,9,D,,D,,
2,D,10,C,,C,,
2,D,11,D,,D,,
2,D,12,A,,A,,
2,D,13,A,,B,,
2,D,14,C,,B,,
2,D,15,B,,B,,
2,D,16,B,,B,,
2,D,17,B,,B,,
2,D,18,B,,B,,
2,D,19,C,,C,,
2,D,20,B,,B,,
2,D,21,C,,C,,
2,D,22,D,,D,,
2,D,23,D,,D,,
2,D,24,C,,C,,
2,D,25,C,,C,,
2,D,26,A,,D,,
2,D,27,C,,C,,
2,D,28,B,,B,,
2,D,29,D,,D,,
2,D,30,A,,A,,
2,D,31,A,,A,,
2,D,32,C,,D,,
2,D,33,A,,A,,
2,D,34,A,,D,,
2,D,35,B,,C,,
2,D,36,D,,D,,
2,D,37,D,,B,,
2,D,38,C,,D,,
2,D,39,B,,B,,
2,D,40,C,,C,,
2,D,41,B,,B,,
2,D,42,C,,C,,
2,D,43,D,,D,,
2,D,44,D,,D,,
2,D,45,C,,C,,
2,D,46,A,,A,,
2,D,47,D,,D,,
2,D,48,B,,B,,
2,D,49,B,,B,,
2,D,50,C,,C,,
2,D,51,B,,B,,
2,D,52,D,,D,,
2,D,53,A,,D,,
2,D,54,B,,B,,
2,D,55,D,,D,,
2,D,56,C,,C,,
2,D,57,C,,C,,
2,D,58,A,,A,,
2,D,59,A,,A,,
2,D,60,B,,C,,
2,D,61,B,,B,,
2,D,62,C,,A,,
2,D,63,C,,C,,
2,D,64,B,,B,,
2,D,65,D,,D,,
2,D,66,C,,C,,
2,D,67,C,,C,,
2,D,68,D,,D,,
2,D,69,D,,A,,
2,D,70,C,,C,,
2,D,71,A,,A,,
2,D,72,C,,C,,
2,D,73,D,,C,,
2,D,74,C,,C,,
2,D,75,C,,C,,
2,D,76,C,,B,,
2,D,77,A,,A,,
2,D,78,D,,D,,
2,D,79,C,,D,,
2,D,80,C,,D,,
